urn|textgroup|groupname_eng|has_mads|mads_possible|notes|urn_status|created_by|edited_by
urn:cite:perseus:cattg.156.1|urn:cts:greekLit:tlg0194|Glycon Epigrammaticus, Person der Antike|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.157.1|urn:cts:greekLit:tlg0195|Hadrian Emperor of Rome 76-138|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.158.1|urn:cts:greekLit:tlg0196|Hecataeus Thasius 3. Jh. v. Chr.|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.159.1|urn:cts:greekLit:tlg0197|Hedyle Epigrammatica 4./3. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.160.1|urn:cts:greekLit:tlg0198|Hedylus Samius 3. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.161.1|urn:cts:greekLit:tlg0199|Bacchylides|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.162.1|urn:cts:greekLit:tlg0201|Isyllus, of Epidaurus|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.163.1|urn:cts:greekLit:tlg0203|Limenius Lyricus 2. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.164.1|urn:cts:greekLit:tlg0204|Aristonous Corinthius 3. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.165.1|urn:cts:greekLit:tlg0205|Philodamus Scarpheus 4. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.166.1|urn:cts:greekLit:tlg0206|Theocles Lyricus 4/3 Jh. v Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.167.1|urn:cts:greekLit:tlg0207|Hermocles Cyzicenus um 307 v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.168.1|urn:cts:greekLit:tlg0208|Dosiadas, Cretensis, 3./2. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.169.1|urn:cts:greekLit:tlg0209|Seleucus Lyricus 2. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.170.1|urn:cts:greekLit:tlg0210|Euphronius fl. 520-470 B.C|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.171.1|urn:cts:greekLit:tlg0211|Simmias of Rhodes fl. 300 B.C|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.172.1|urn:cts:greekLit:tlg0212|Philētas 330-270 B.C|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.173.1|urn:cts:greekLit:tlg0213|Hermesianax of Colophon|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.174.1|urn:cts:greekLit:tlg0214|Phanocles|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.175.1|urn:cts:greekLit:tlg0215|Antagoras, Rhodius um 276 v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.176.1|urn:cts:greekLit:tlg0216|Alexander, Aetolus|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.177.1|urn:cts:greekLit:tlg0218|Nicaenetus, Samius, 3./2. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.178.1|urn:cts:greekLit:tlg0219|Rhianus, of Crete|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.179.1|urn:cts:greekLit:tlg0220|Moero, Bzyantia 4./3. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.180.1|urn:cts:greekLit:tlg0221|Euphorion of Chalcis b. ca. 276 B.C|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.181.1|urn:cts:greekLit:tlg0222|Eratosthenes|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.182.1|urn:cts:greekLit:tlg0227|Anonymi Curetum Hymnus|false|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.183.1|urn:cts:greekLit:tlg0230|Lyrica Adespota|false|true||published|feed_aggregator|feed_aggregator
