Authors	Perseus Author Name	Author-Abbreviation (LSJ)	Author Abbreviation (OLD)	Author Abbreviation (Lewis & Short)	Work Title	Abbreviated Work Title	OLD Edition	P	Loeb Edition	P	Teubner edition	P	Status	ABOS	STOA	PHI	TLG	Date Created	Other (bhl, Perseus)	Authority Record	Created one/Enhanced existing one	Smith or Making of America location	Notes
Lysias					Against Philocrates								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,029	none	none	0540.029	388BCE		``	``		
Lysias					Against Nicomachus								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,030	none	none	0540.030	399BCE 		``	``		
Lysias					Against Philon								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,031	none	none	0540.031	401BCE		``	``		
Lysias					Against Diogeiton								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,032	none	none	0540.032	401BCE-400BCE		``	``		
Lysias					Olympic Oration								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,033	none	none	0540.033	388BCE		``	``		
Lysias					Against the Subversion of the Ancestral Constitution of Athens								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0540,034	none	none	0540.034	403BCE		``	``		
Lysippus					Fragmenta								new collection	none	none	none	0472.001			yes(dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa;cc=moa;rgn=full%20text;idno=ACL3129.0002.001;didno=ACL3129.0002.001;view=image;seq=00000881 http://www.brillonline.nl/subscriber/entry?entry=bnp_e715030	"Smith, Vol 2, pg. 871, ""Lysippus, literary, 1"" Brill: Lysippus, 1, writer of the old comedy"
Lysistratus					Epigramma								new collection	none	none	none	1472.001			yes(dnb)	need to enhance		
Macedonius I (Macedonius of Thessalonica)					Epigrammata								new collection	none	none	none	1473.001			yes	yes		M. of Thessalonica. Epigrammatist of the ‘Garland’ of Philippus, of which three poems are extant: the ethnicon is only mentioned in the lemma of the sharp and vicious epigram Anth. Pal. 11,39; this could therefore suggest that another poet is the author of the colourless epigrams 9,275 and 11,27. Identification with the homonymous M. [1] (Coll. Alex. 138-140 = Paean 41 Käppel), however, remains a hypothesis that is based on the rarity of the name M. in the period of Philippus of Thessalonica (1st cent. AD).
Macedonius, Consul					Epigrammata								new collection	none	none	none	4064.001			yes	yes		"[3] Epigrammatist and imperial official, [3]
High official at the imperial court, honorary consul (cos. honorarius), perhaps identifiable with a curator dominicae domus of AD 531. Elegant epigrammatist, probably communicated with Paulus Silentiarios, who in Anth. Pal. 7,604 mentions a twelve-year-old girl (according to the lemma the daughter of Paulus) by the name of Macedonia. A total of 41 poems in the ‘Cycle’ of Agathias are extant: votive and love epigrams, as well as epideictic, protreptic, sympotic and satirical epigrams. M. does not know the funerary epigram: Anth. Pal. 7,566 is only a gloomy reflection on the conditio humana. The praises of love are sung with reference to traditional themes of the Hellenistic and particularly the Meleagrian epigram (apart from the one about pederasty): the inconstancy of woman (Anth. Pal. 5,247: the female protagonist of the poem bears the antiphrastic name Parmenís, ‘Constancy’), arrows and wounds (5,224: a sober individual distichon, with which M., who normally writes six, eight or ten verses, beseeches Eros to stop shooting at him; 5,225, whose first verse became a proverb, cf. Apostolius, Coll. paroemiorum 7,3), the disfiguring effect of age (5,271, but in 5,227 he maintains emphatically that he as a lover will bear the ‘tendril of wrinkles’ of the beloved, cf. Paulus Silentiarios, Anth. Pal. 5,258).

The influence of Leonidas [3] of Tarentum is obvious in the votive epigrams, that of Palladas in the gnomic-satirical epigrams (cf. Anth. Pal. 10,71; 11,375), that of Nonnus and above all of Homer (who is mentioned occasionally, cf. Anth. Pal. 9,625; 11,380) especially in the sympotic poems. M. handles the imitatio (together with the mythological cultural heritage a fundamental component of the epigram in the Justinianic period, cf. Epigram I. G.) with sophisticated mastery, is not averse to neologisms and has real flashes of inspiration from time to time (cf. also Anth. Pal. 11,58; 11, 366).
"
Macer, Aemilius					Carmina								new collection	none	none	923.1	none			yes	yes		
Macer, C. Licinius (Caius Licinius)					Annales								new collection	none	none	556.1	none			yes	yes		
Machon					Fragmenta								new collection	none	none	none	0473.002			yes	need to enhance		
Macrobius					Saturnalia								new collection	none	stoa0186-stoa001	none	none			yes	yes		
Macrobius					Commentarii in Somnium Scipionis								new collection	none	stoa0186-stoa002	none	none			``	n.a.		
Maeandrius Milesius					Fragmenta								new collection	none	none	none	2339.002			yes	need to enhance		
Maecenas, G. Cilnius					Carmina								new collection	none	none	558.1	none			yes	need to enhance		
Maecius, Quintus					Epigrammata								new collection	none	none	none	1474.001			yes(dnb)	need to enhance	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa;cc=moa;q1=Maecius;rgn=full%20text;idno=acl3129.0002.001;didno=acl3129.0002.001;view=image;seq=00000905	
Maeonius Astyanax					Fragmenta								new collection	none	stoa0187c-stoa001	none	none			yes(dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa;cc=moa;rgn=full%20text;idno=ACL3129.0002.001;didno=ACL3129.0002.001;view=image;seq=00000908	Only cited in the SHA
Magnes					Fragmenta								new collection	none	none	none	0474.001			yes(dnb)	need to enhance		
Magnes					Fragmentum								new collection	none	none	none	0474.003			yes(dnb)	``		
Magnus the Physician					Epigrammata								new collection	none	none	none	0959.001			yes(dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0002.001&q1=Maecius&frm=frameset&view=image&seq=912	Magnus, number 7, bui-l-Faraj mentions a physician of this cuse. Mago landed in Sicily with a large army, name, who lived in the seventh century after and after numerous petty combats, a pitched battle Christ; but the Arabic writers are so incorrect in at length took place, in which, after a severe conGreek history and Chronology, that it is not at all test, the Carthllaginians were defeated, and Mago unlikely that he is speaking of one of the persons himself slain. (Diod. xv. 15.) already named. (Hist. Dynast. p. 115.) 3. Commander of the Carthaginian fleet and There is extant in the: Greek Anthology an army in Sicily in B.c. 344. When Timoleon had epigram of a physician of this name
Magnus, of Carrhae					Fragmenta: De Iuliani Bello Persico								new collection	none	none	none	2157.003			yes	need to enhance		
Malchus Philadelphensis					Testimonia								new collection	none	none	none	2582.002			yes	need to enhance		
Malchus Philadelphensis					Fragmenta								new collection	none	none	none	2582.003			``	``		
Mamercus					Epigramma								new collection	none	none	none	1476.001			yes (Dnb)	need to enhance	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0002.001&q1=Mamercus&frm=frameset&view=image&seq=921	
Mamertinus Claudius, 4th cent.					Mamertini pro Consulatu Gratiarum Actio Juliano Augusto								new collection	none	stoa0187b-stoa001	none	none			yes	yes		
Mamertinus Claudius, 4th cent.					Panegyricus Genethliacus Maximiano Augusto Dictus								new collection	none	stoa0187b-stoa002	none	none			``	``		
Mamertinus Claudius, 4th cent.					Panegyricus Maximiano Augusto Dictus								new collection	none	stoa0187b-stoa003	none	none			``	``		
Manasses, Constantine					Aristarchus et Callithea (fragmenta) 								new collection	none	none	none	3074.004			yes	need to enhance		
Manetho, Astrologer					Apotelesmatica								new collection	none	none	none	2583.001			yes (Dnb)	n.a.		
Manetho					Fragmenta								new collection	none	none	none	1477.003			yes	yes		
Manilius, Lucius					Carmina								new collection	none	none	562.1	none			yes (Dnb)	yes		
Manilius, Marcus					Astronomica. Selections.								new collection	none	stoa0188-stoa001	926.1	none			yes	need to enhance		
Map, Walter					Poems (Attributed)								new collection	none	stoa0188a-stoa001	none	none			yes	need to enhance		
Map, Walter					De Nugis Curialium								new collection	none	stoa0188a-stoa002	none	none			``	``		
Marcellinus 					Vita Thucydidis								new collection	none	none	none	2585.001			yes	need to enhance		
Marcellus, Empiricus					De medicamentis liber								new collection	none	stoa0190a-stoa001	none	none			yes	need to enhance		
Marcius Vates					Praecepta								new collection	none	stoa0191-stoa001	103.1	none			yes	yes		
Marcus Argentarius					Epigrammata								new collection	none	none	none	0132.001			yes	need to enhance	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0001.001&frm=frameset&view=image&seq=295	M. Argentarius, perhaps should file under A?
Marcus Aurelius Antoninus					Ad Se Ipsum								new collection	none	none	none	0562.001			yes	need to enhance		
Marcus Aurelius Antoninus					Epistularum Ad M. Caesarem et Invicem 								new collection	none	none	1248.1	none			``	``		
Marcus Aurelius Antoninus					Ad M. Antoninum Imperatorem.								new collection	none	none	1248.2	none			``	``		
Marcus Aurelius Antoninus					Carmina								new collection	none	none	1224.1	none			``	``		
Marcus the Younger					Epigrammata								new collection	none	none	none	7000.001?			no	no	?	
Marianus  					Carmina								new collection	none	none	1291.1	none			yes	n.a.		
Marianus Scholasticus					Epigrammata								new collection	none	none	none	4073.001			yes(dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0002.001&q1=Marcus&frm=frameset&view=image&seq=960; http://www.brillonline.nl/subscriber/entry?entry=bnp_brill800760	Pages 950-951
Marinus					Epigrammata								new collection	none	none	none	4074.001			yes (Dnb)	need to enhance	http://viaf.org/processed/DNB|102398461	
Marinus, 5th cent. (Marinus Philosophus)					Epigrammata								new collection	none	none	none	4075.001			yes	yes		
Marinus, 5th cent. (Marinus Philosophus)					Commentarium in Euclidis data								new collection	none	none	none	4075.002			``	``		
Martial					Liber de Spectaculis								new collection	none	stoa0192-stoa003	1294.1	none			yes	yes		
Martial					Epigrammata								Part of Perseus 4.0 and new collection	Perseus:abo:phi,1294,002	stoa0192-stoa002	1294.2	none			``	``		
Martial					Apophoreta (Book XIV?)								new collection	none	stoa0192-stoa001	none	none			``	``		
Martial					Xenia (Book XIII)?								new collection	none	stoa0192-stoa004	none	none			``	``		
Martianus Capella					De Nuptiis Philologiae Et Mercurii								new collection	none	stoa0192a-stoa001	none	none			yes	yes		
Marullus					Mimus								new collection	none	none	1297.1	none			yes	yes		
Marullus (Marullo Tarcaniota, Michele)					Hymnorum naturalium. Selections								new collection	none	stoa0194-stoa002	none	none			yes	yes		
Matius, Cn.					Fragmenta/Carmina								new collection	none	none	568.1	none			yes	yes		
Matron of Pitana					Convivium Atticum								new collection	none	none	none	1486.001			yes	yes		
Matron of Pitana					Fragmenta								new collection	none	none	none	1486.002			``	``		
Mavortius					Iudicium Paridis 								new collection	none	stoa0195a-stoa001	none	none			yes(dnb)	need to merge with Tom's	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0002.001&q1=Marcus&frm=frameset&view=image&seq=985; http://www.brillonline.nl/subscriber/entry?entry=bnp_e727310	Pg. 975; From Brill Online: Consul AD 527. M. lived in the Ostrogoth kingdom and played an important role for the transmission of literary texts. He is attested as an editor of Horace and Prudentius. He probably wrote the Iudicium Paridis (Anth. Lat. 1,10), perhaps also the Cento de ecclesiis (Anth. Lat. 1,16).
Maximianus					Elegiae								new collection	none	stoa0196-stoa001	none	none			yes	need to enhance		
Maximinus (on of twelve sapientes)					De Y Litera								new collection	none	stoa0027b-stoa008	none	none			no	yes (listed under record for Carmina Duodecim Sapientum)	one of twelve sapientes	
Maximinus (on of twelve sapientes)					Vergil Distichs								new collection	none	stoa0027b-stoa008	none	none			``	``		
Maximus					Carminum De Actionum Auspiciis Reliqiuia								new collection	none	none	none	1487.001			yes(dnb)	yes	http://www.brillonline.nl/subscriber/entry?entry=bnp_brill800800	"[2] Astrologer, 2nd cent. AD, [2]
Author of an astrological didactic poem of which a total of c. 615 verses in hexameter and a paraphrase in prose have been preserved. Not before the 2nd cent. AD, highly unlikely to be identical with the Neoplatonist M. [4] of Byzantium. In 12 sections, of which the first 31/2 are lost, the poem Περὶ καταρχῶν (‘On Choosing the Right Moment) discusses: 1. Birth, 2. purchase of slaves, 3. seafaring and commerce, 4. travels, 5. marriage, 6. disease, 7. surgical interventions, 8. runaway slaves, 9. instruction of children, 10. farming, 11. captivity, 12. theft. The four cardinal points of the daily rotation are not crucial as they are elsewhere, but the position of the moon in the zodiac is and so are the planets and some paranatellonta. M. uses Dorotheus [5] of Sidon and is in turn used by Nonnus.
"
Maximus					Anecdota Astrologica								new collection	none	none	none	1487.002			``	``		
Maximus of Tyre					Dissertationes								new collection	none	none	none	0563.001			yes	need to enhance		
Maximus, Marius					De Vita Imperatorum								new collection	none	stoa0196a-stoa001	none	none			yes	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0002.001&q1=Maximus&frm=frameset&view=image&seq=1007	pp. 997-998, vol 2;  
Megasthenes					Fragmenta								new collection	none	none	none	1489.003			yes	yes		
Mela, Pomponius					De chorographia 								new collection	none	stoa0200-stoa001	929.1	none			yes	yes		
Melanippides					Fragmenta								new collection	none	none	none	0373.001			yes (Dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa;cc=moa;q1=Melanippides;rgn=full%20text;idno=ACL3129.0002.001;didno=ACL3129.0002.001;view=image;seq=00001023	pg. 1013 
Melanthius Epigrammaticus					Fragmentum								new collection	none	none	none	0254.001			yes(dnb)	need to enhance	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0002.001&q1=Melanippides&frm=frameset&view=image&seq=1025	Pg. 1015, the tragic poet
Melanthius Rhodius					Fragmenta								new collection	none	none	none	0344.001			yes(dnb)	need to enhance		
Meleager					Epigrammata								new collection	none	none	none	1492.001			yes	yes		
Meletus Atheniensis					Titulus								new collection	none	none	none	1848.001			yes(dnb)	need to enhance		
Melinno Lesbia					Eis Rhomen								new collection	none	none	none	1493.001	http://www.brillonline.nl/subscriber/entry?entry=bnp_e730810		yes (Dnb)	need to enhance	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa;cc=moa;q1=Melinno;rgn=full%20text;idno=acl3129.0002.001;didno=acl3129.0002.001;view=image;seq=00001031	pg. 1021-2, Melinno, a lyric poetess
Melissus, Paulus					Poem in German Latin Lyricists. Selections.								new collection	none	stoa0201a-stoa001	none	none			yes	need to enhance		
Memmius, C.					Carmina								new collection	none	none	574.1	none			yes	need to enhance		
Menander					Georgius								new collection	none	none	none	0541.003			yes	yes		
Menander					Georgi fragmenta aliunde nota								new collection	none	none	none	0541.004			``	``		
Menander					Epitrepontum fragmenta.								new collection	none	none	none	0541.008			``	``		
Menander					Epitrepontes								new collection	none	none	none	0541.009			``	``		
Menander					Heros								new collection	none	none	none	0541.010			``	``		
