Authors	Perseus Author Name	Author-Abbreviation (LSJ)	Author Abbreviation (OLD)	Author Abbreviation (Lewis & Short)	Work Title	Abbreviated Work Title	OLD Edition	P	Loeb Edition	P	Teubner edition	P	Status	ABOS	STOA	PHI	TLG	Date Created	Other (bhl, Perseus)	Authority Record	Created one/Enhanced existing one	Smith or Making of America location	Notes
Antiphon					Tetralogia 2								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0028,003	none	none	0028.003	460BCE-440BCE		``	n.a.		
Antiphon					Tetralogia 3								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0028,004	none	none	0028.004	460BCE-440BCE		``	n.a.		
Antiphon					De caede Herodis								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0028,005	none	none	0028.005	430BCE-411BCE		``	n.a.		
Antiphon					De choreuta								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0028,006	none	none	0028.006	430BCE-411BCE		``	n.a.		
Antiphon					Fragmenta								new collection	none	none	none	0028.007			``	n.a.		
Antiphon the Sophist 					Fragmenta								new collection	none	none	none	1147.001			yes	n.a.		
Antiphon Tragicus					Fragmenta								new collection	none	none	none	0323.001			yes(dnb)	n.a.		
Antisthenes					Fragmenta								new collection	none	none	none	0591.001			yes	n.a.		
Antistius					Epigrammata								new collection	none	none	none	0119.001			no	yes	http://www.ancientlibrary.com/smith-bio/0218.html	
Antoninus Liberalis					Metamorphoseon synagoge								new collection	none	none	none	0651.001			yes	yes		
Antoninus Pius					Epistulae								new collection	none	none	1248.6	none			yes	n.a.		
Antonius Diogenes					De incredibilibus								new collection	none	none	none	1148.004			yes	n.a.		
Antonius Julianus					De Iudaeis								new collection	none	stoa0028c-stoa001	none	none			yes (dnb)	yes	http://www.ancientlibrary.com/smith-bio/1751.html	
Antonius of Argos (Antonius Argivus)					Epigrammata								new collection	none	none	none	0120.001			yes (dnb)	yes	http://www.ancientlibrary.com/smith-bio/0226.html	
Antonius the Monk					Vita Sancti Simeonis								new collection	none	stoa0028d-stoa001	none	none		7957	yes	n.a.		
Anubion					Fragmenta								new collection	none	none	none	1126.003			yes (dnb)	n.a.		
Anyte					Epigrammata								new collection	none	none	none	0121.001			yes	n.a.		
Aphareus					Epigramma								new collection	none	none	none	1150.001			yes (dnb)	yes	http://www.ancientlibrary.com/smith-bio/0233.html	
Apicius					De Re Coquinaria								new collection	none	stoa0029-stoa001	2003.1	none			yes	n.a.		
Apollinarius					Epigrammata								new collection	none	none	none	0122.001			yes (dnb)	yes	http://www.ancientlibrary.com/smith-bio/0239.html	
Apollodorus					Bibliotheca								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0548,001	none	none	0548.001	100-200		yes	n.a.		
Apollodorus					Epitome								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0548,002	none	none	0548.002			n.a.	n.a.		
Apollodorus of Athens					Fragmenta Historica								new collection	none	none	none	0549.005			yes	n.a.		
Apollodorus Carystius					Fragmenta								new collection	none	none	none	0411.001			yes (dnb)	n.a.		
Apollodorus Carystius					Fragmentum								new collection	none	none	none	0411.003			yes (dnb)	n.a.		
Apollodorus Gelous					Fragmenta								new collection	none	none	none	0413.001			``	``		
Apollodorus Gelous/Apollodorus Carystius					Fragmenta								new collection	none	none	none	0412.001			n.a.	n.a.		
Apollodorus Lyricus					Fragmenta								new collection	none	none	none	0365.001			yes(dnb)	yes		
Apollodorus Seleucensis					Fragmenta								new collection	none	none	none	1166.001			yes(dnb)	n.a.		
Apollonides Smyrnaeus					Epigrammata								new collection	none	none	none	0124.001			yes (dnb)	yes	http://www.ancientlibrary.com/smith-bio/0246.html	
Apollonides Tragicus					Fragmenta								new collection	none	none	none	0345.001			yes(Dnb)	yes		
Apollonius Biographus					Vita Aeschinis								new collection	none	none	none	1167.001			yes(Dnb)	ye		
Apollonius of Perga					Conica/Conicorum								new collection	none	none	none	0550.001			yes	yes		
Apollonius of Tyana					Epistulae								new collection	none	none	none	0619.003			yes	yes		
Apollonius Rhodius					Argonautica								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0001,001	none	none	0001.001	270BC-215BCE		yes	n.a.		
Apollonius Rhodius					Fragmenta								new collection	none	none	none	0001.002			``	n.a.		
Apollonius Rhodius					Epigrammata								new collection	none	none	none	0001.003			``	n.a.		
Apollonius, Sophista,  fl.1. Jh.‏ 					Lexicon Homericum								new collection	none	none	none	1168.001			yes	yes		
Apollophanes Comicus					Fragmenta								new collection	none	none	none	0414.001			yes(dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa;cc=moa;q1=Apollophanes;rgn=full%20text;idno=acl3129.0001.001;didno=acl3129.0001.001;view=image;seq=00000261, http://www.brillonline.nl/subscriber/entry?entry=bnp_e128720	Apollophanes, 2, of Athens, poet of the Old Attic comedy, Smith, Vol 1, pg. 246: Apollophanes, 1, Attic poet of the old comedy
Apollophanes Comicus					Fragmenta								new collection	none	none	none	0414.003			``	``		
Apollophanes Stoicus					Fragmenta								new collection	none	none	none	2168.001			yes(dnb)	yes		
Apion 					Fragmenta								new collection	none	none	none	1152.005			yes	need to enhance		
Appendix Vergiliana					Dirae								new collection	none	stoa0297-stoa008	692.1	none			yes	n.a.	need uniform title authority record	
Appendix Vergiliana					Lydia								new collection	none	stoa0297-stoa011	692.2	none			``	n.a.	need uniform title authority record	
Appendix Vergiliana					Culex								new collection	none	stoa0297-stoa005	692.3	none			yes (own)	n.a.	need uniform title authority record	
Appendix Vergiliana					Aetna								new collection	none	stoa0297-stoa001	692.4	none			yes (own)	n.a.	need uniform title authority record	
