Authors	Work Title	Volume	Status	ABOS	STOA	PHI or BHL	TLG	Perseus Identifier	Authority Record	Language	Notes
Anonymous Rhetoric	Excerpta Rhetorica e. cod. Parisino n. 7530 edita	Rhetores Latini Minores	new collection	none	none	?	none		no	Latin	
Anonymous Rhetoric	Incerti Auctores Schemata Diaoneas	Rhetores Latini Minores	new collection	none	none	?	none		no	Latin	
Anonymous Rhetoric	Incerti Auctoris Tractatus De Adtributis Personae Et Negotio	Rhetores Latini Minores	new collection	none	none	?	none		no	Latin	
Anonymous-Graeco Incerto	Verba Seniorum  (translated by Johannes, Subdeacon)	Vitae Patrum Sive Historiae Eremiticae Libri Decem, Book VI	new collection	none	none	BHL (6530)	none		no	Latin	
Anonymous-Graeco Incerto	Verba Seniorum  (translated by Paschasius Radbertus)	Vitae Patrum Sive Historiae Eremiticae Libri Decem, Book VII	new collection	none	none	BHL (6531)	none		no	Latin	
Anonymous-Graeco Incerto	Verba Seniorum (translated by Pelagius)	Vitae Patrum Sive Historiae Eremiticae Libri Decem, Book V	new collection	none	none	BHL (6527)	none		no	Latin	
Anonymous-Graeco Incerto	Vita Sancti Ephraem Syri: Diaconi Edessae (translated by Vossius, Gerardus Joannes)	Vitae Patrum Sive Historiae Eremiticae Libri Decem, Book 1	new collection	none	none	BHL-Ephraem	none		no	Latin	
Anonymous-Graeco Incerto	Vita Sancti Pachomii: Abbatos Tabennensis (translated by Dionysius Exiguus)	Vitae Patrum Sive Historiae Eremiticae Libri Decem, Book 1	new collection	none	none	BHL (6410)	none		no	Latin	
Anonymus Discipulus Isidori Milesii	Euclidis elementorum qui fertur liber xv	Euclidis Opera Omnia, Vol 5	new collection	none	none	none	4055.001		no	Greek	
Antigoni Epistulae	Epistulae	Epistolographi Graeci	new collection	none	none	none	0618.001		no	Greek & Latin	
Arcesilai Epistulae	Epistulae	Epistolographi Graeci	new collection	none	none	none	0038.001		no	Greek & Latin	
Archytas (Pseudo)	Epistulae	Epistolographi Graeci	new collection	none	none	none	1177.001		no	Greek & Latin	
Argumenta Aeneidis et Tetrasticha in cunctis libris Vergilii	Tetrasticha in Vergilii Bucolica et Georgica	Poetae Latini minores, Vol IV	new collection	none	none	3211.3	none		no	Latin	
Argumenta Aeneidis et Tetrasticha in cunctis libris Vergilii	Tetrasticha in Vergilii Aeneida	Poetae Latini minores, Vol IV	new collection	none	none	3211.4	none		no	Latin	
Argumenta Aeneidis et Tetrasticha in cunctis libris Vergilii	Monosticha in libris Aeneidos	Poetae Latini minores, Vol IV	new collection	none	none	3211.2	none		no	Latin	
Argumenta Aeneidis et Tetrasticha in cunctis libris Vergilii	Argumenta Aeneidis, Decasticha	Poetae Latini minores, Vol IV	new collection	none	none	3211.1	none		no	Latin	
Artaxerxis Epistulae	Epistulae	Epistolographi Graeci	new collection	none	none	none	0045.001		no	Greek & latin	
Bruti Epistulae	Epistulae	Epistolographi Graeci	new collection	none	none	none	1803.001		no	Greek & Latin	
Bucolica Einsidlensia 	Bucolica Einsidlensia 	Poetae Latini Minores, Vol 3; Minor Latin Poets	new collection	none	none	821.1	none		no	Latin	
Calani Epistulae	Epistulae	Epistolographi Graeci	new collection	none	none	none	0040.001		yes	Greek & Latin	
Canticum Euripidis	Ex Orestis Stasimo I	Musici Scriptores Graeci	new collection	none	none	none	2138.001		no	Greek	
Carmen Naupactium	Carmen Naupactium Fragmenta	EGF	new collection	none	none	none	1241.002		no	Greek	
Carmina Convivialia	Scolia Attica	Anthologia Lyrica (Hiller-1897); Anthologia Lyrica Graeca, Volume 2, 1925, Greek Melic Poets, PLG Vol III	new collection	none	none	none	0296.001		no	Greek	
